,Zip,Median,Population
0,78610,80378,23502
1,78613,77679,65099
2,78617,42002,20265
3,78641,70098,44295
4,78652,94441,4466
5,78653,56674,16375
6,78660,72566,68789
7,78664,64587,52932
8,78681,91674,50606
9,78701,65353,6841
10,78702,31715,21334
11,78703,80708,19307
12,78704,47497,42117
13,78705,14590,31340
14,78712,8321,860
15,78717,98157,22538
16,78719,52382,1764
17,78721,30019,11425
18,78722,41729,5901
19,78723,40820,28330
20,78724,38909,21696
21,78725,52555,6083
22,78726,89862,13122
23,78727,67287,26689
24,78728,51163,20299
25,78729,59267,27108
26,78730,121702,7955
27,78731,66320,17465
28,78732,120657,14060
29,78733,125088,8762
30,78734,82471,17655
31,78735,78171,16131
32,78736,79837,6946
33,78737,109027,12081
34,78738,115761,12134
35,78739,125257,16792
36,78741,28600,44935
37,78742,24223,820
38,78744,40834,42820
39,78745,40987,48532
40,78746,144895,26928
41,78747,56943,14808
42,78748,66880,40651
43,78749,81805,34449
44,78750,83540,26814
45,78751,37072,14385
46,78752,30477,18064
47,78753,39658,49301
48,78754,57934,15036
49,78756,49860,7194
50,78757,53358,21310
51,78758,42886,44072
52,78759,73831,37767
