Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"14028 US-183 #230, Austin, TX 78717, USA",0601908a5405abb9a295494c87befba8a516caf6,la Madeleine French Bakery & Café,,4.1,78717
"1600 E Whitestone Blvd, Cedar Park, TX 78613, USA",790a5b374952de5bc52ba704c796a26515231a64,Dos Salsas,,4.3,78613
"3663 Bee Caves Rd, West Lake Hills, TX 78746, USA",a29ca6c5d703133dc5345541efbb7fc4192eac65,Blue Dahlia Bistro,,4.5,78746
"9828 Great Hills Trail #650, Austin, TX 78759, USA",4ce50257ef032506d4e9c109f8ade04e99239e36,la Madeleine French Bakery & Café,2.0,4.1,78759
"1115 E 11th St, Austin, TX 78702, USA",01779708fb644f5d4bbd8b43bbd47bd16cbaff18,Blue Dahlia Bistro,2.0,4.6,78702
"2834, 1906 S Bagdad Rd, Leander, TX 78641, United States",9098a62bd192ad8f0bbbc11b8b4cc82a035c2aec,Great Wall Restaurant,2.0,3.5,78641
"309 N Hwy 183, Leander, TX 78641, United States",606c1e445ee35b51bd7d7108862354368c91c49b,Mouton's Southern Bistro,2.0,4.4,78641
"651 N. HWY 183, Suite 310, Leander, TX 78641, United States",88efa3f41517d7f9fc862eaf60e9c7178541642f,La Tapatia Mexican Restaurant,2.0,4.1,78641
"901 S. US 183, Leander, TX 78641, United States",87e3f67ffae333bce080005d542f578fc2c72c94,Golden Chick,,4.4,78641
"510 Neches St, Austin, TX 78701, USA",23b06c5ec5929d98a06616c7dba96705f21f9c2c,Chez Nous,2.0,4.4,78701
"4710 E 5th St, Austin, TX 78702, USA",553fd31c1eaeda0a770d0f910279c7d7b3620d28,Justine's,2.0,4.5,78702
"100 E Parsons St, Manor, TX 78653, USA",e08dda2867aeb0c8093eab17dabdf9a9d4d6ca0e,Little Beijing Restaurant,,4.6,78653
"2604 West Pecan Street, Suite C On the right side of Starbucks bldg, Pflugerville, TX 78660, United States",0c19bb331b9006c1e9ef2ab5275e0c24c4fd2092,La Patisserie by Oven-Fresh Delights,,4.6,78660
"13000 I-35 #600, Austin, TX 78753, USA",70c35a7f16bc464ff76854875104d3d54f2c7579,French Quarter Grille,2.0,4.6,78753
"3120 Palm Way #150, Austin, TX 78758, USA",33d7b19918200c6e3cda86073c8daaa5ff19f510,Toulouse Domain,2.0,4.5,78758
"10515 N. Mopac Expy. NB, Austin, TX 78758, United States",7d05a62619daa7ddd8b26167fa262db5d5d0d7b1,Mimi's Cafe,2.0,3.9,78758
"5350 Burnet Rd, Austin, TX 78756, USA",0d6fb7db6d7f7b3a51e2537495292cef5ec38b0e,Bonhomie,2.0,4.5,78756
"3110 Guadalupe St, Austin, TX 78705, USA",f25416306688afad6e25088e4cd70e90fc67463a,Hopfields,1.0,4.5,78705
"110 San Antonio St, Austin, TX 78701, USA",6a9c702ac129afd0c82fd0bc8a3eccd4b57f0e9a,Le Politique,3.0,4.3,78701
"4151 I-35, Round Rock, TX 78664, USA",99cc237d4599c60b442dde93620a4e8d1e6b703a,Mimi's Cafe,2.0,4.0,78664
"2600 N Interstate Hwy 35, Round Rock, TX 78681, USA",7b7d2297b4c6e3df26a703918fe39197c7a6b4a6,Mellow Mushroom,,4.2,78681
"2702 Parker Dr, Round Rock, TX 78681, USA",ea9adab6aca615077230a01523c0210c6b3b74cd,LongHorn Steakhouse,2.0,4.2,78681
"2800 N Interstate 35 Frontage Rd #200, Round Rock, TX 78681, USA",f1556e2a76484d765708b877806817c6527608d2,COVER 3 Round Rock,,4.4,78681
"2000 N Interstate 35 Frontage Rd G4, Round Rock, TX 78681, USA",750c5df19dc8f3e673a995cb68ebdaabe542f045,China Wall Restaurant,2.0,3.7,78681
