Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"3420-B FM 967 B110, Buda, TX 78610, United States",963e863fa6cc9b1d1248582c2a669f3153a07c9c,Beijing Bistro - Buda,,3.8,78610
"1671 Main St C, Buda, TX 78610, USA",85ef6f6bbc4348739de27c8b171802d3380779a5,IM Thai Cuisine Buda,,4.5,78610
"1420 Cypress Creek Road #300, Cedar Park, TX 78613, United States",1e36ca054bab515fed6c13b1f07117628fb55bd4,Hot Wok Cafe Chinese Restaurant,2.0,3.7,78613
"1335 E Whitestone Blvd s190, Cedar Park, TX 78613, USA",542c66918a2d68bd5d3343d25ebe400145fba721,Amy's China Cuisine,,3.6,78613
"601 E Whitestone Blvd, Cedar Park, TX 78613, USA",305d74e7a8d1c874ec7f0b95c63965e14a69594a,Sichuan Bistro Restaurant,2.0,4.0,78613
"251 N Bell Blvd #113, Cedar Park, TX 78613, USA",186112c23111fb27ffa77da691eae9cb985c63dc,Hunan Chef,2.0,3.3,78613
"315 N Bell Blvd, Cedar Park, TX 78613, USA",da5020cda2585fcb54d8cfcb0eff5750b438ae1d,Kim Phung Restaurant,1.0,4.2,78613
"200 Buttercup Creek Blvd #117, Cedar Park, TX 78613, USA",641d031b78ed409976b75b1a64152db8d6af2fdb,Wok Express,2.0,3.7,78613
"401 W Whitestone Blvd, Cedar Park, TX 78613, USA",5611ceddec132eb8f5d46fab58cfadc4ec667d1c,Panda Express,1.0,3.4,78613
"401 E Whitestone Blvd # C106, Cedar Park, TX 78613, USA",bc9ba59722704f22b9980e0bbe018eee2c0874fe,Kung Fu Buffet,,3.0,78613
"4701 Texas 183A Toll Road, Suite C, Cedar Park, TX 78613, United States",be425d0e3da9d8b846e8c149aff794da4e8e9e20,Mama Fu's Asian House,,3.3,78613
"11200 Lakeline Mall Dr, Cedar Park, TX 78613, USA",a92d8990a83d942deab6c6855f7881a7d1ec41eb,Panda Express,1.0,3.1,78613
"1335 E Whitestone Blvd, Cedar Park, TX 78613, USA",d0d95cbd95807e4749f2659de32c8bfad93837f5,Takara Sushi and Asian Bistro,2.0,4.5,78613
"2725 E Whitestone Blvd, Cedar Park, TX 78613, USA",944926e8e6ea82b45d22f3abef22cbebe0f633a0,Panda Express,1.0,3.3,78613
"14028 US-183 #170, Austin, TX 78717, USA",bdaca5ef78d1b42f90d05668161748a70dc519a6,Snow Pea Asian Bistro,2.0,4.3,78717
"200 Buttercup Creek Blvd # 128, Cedar Park, TX 78613, USA",3163a775957d89eb37783bc6f726b65948bb3fb6,Thamnak Thai,2.0,4.4,78613
"1335 E Whitestone Blvd #150, Cedar Park, TX 78613, USA",89fa990b7a4103b08ba9159d5e75ce02fb8f3e75,Cha-Da Thai,1.0,4.4,78613
"2463 E State Hwy 71 Service Rd, Del Valle, TX 78617, USA",9dc8cd444db5fdacc9efdf593379f02e6797f65c,Jasmine's Restaurant,,4.5,78617
"2701 Texas 71, Del Valle, TX 78617, USA",6625511882d723dd59f28758da338ab96eb66b70,El Michoacano Mexican Restaurant,,4.0,78617
"5121 Albert Brown Dr, Del Valle, TX 78617, USA",f0b37ae89b2e7ab4bfe39975dc4a19ac4224465d,Hit the Spot Cafe,,4.6,78617
"13912 FM 812, Del Valle, TX 78617, USA",b480ae8d048da932ba36a157c23b46b7a6d01d35,Wild Bubba's Wild Game Grill,,4.4,78617
"2834, 1906 S Bagdad Rd, Leander, TX 78641, United States",9098a62bd192ad8f0bbbc11b8b4cc82a035c2aec,Great Wall Restaurant,2.0,3.5,78641
"15609 Ronald Reagan Blvd Bldg B230, Leander, TX 78641, USA",a1979a1a31d2fd82f7af7f3fe96aaa056c3c9976,Woks It 2 U,,4.4,78641
"9900 S Interstate 35 Frontage Rd O500, Austin, TX 78748, USA",a93f24149d861b36be57bd7e008cb73e7c90f89a,Chi Chinese Buffet,2.0,2.7,78748
"2110 W Slaughter Ln, Austin, TX 78748, USA",ba10b66213fc2a8871246fd352f294775cdedebf,China Dynasty,2.0,4.2,78748
"309 W Slaughter Ln, Austin, TX 78748, USA",bcb5d183a5d76fac954e92cc438d74866f06a0f4,Panda Express,1.0,3.6,78748
"6818 West Gate Blvd, Austin, TX 78745, USA",9d56fdc337e2c101df72b7b41095b725ca8f0c77,Bamboo Bistro Westgate,,4.0,78745
"2712 Bee Caves Rd, Austin, TX 78746, USA",bdefc39e9e72060c0c3f8552220f8ea2ca60d20b,Chinatown,2.0,4.1,78746
"2800 W William Cannon Dr, Austin, TX 78745, USA",1b9da838439a94590699ca37397e435e34ba0775,China Hill,2.0,3.9,78745
"9600 S IH 35 Frontage Rd c, Austin, TX 78748, USA",51368733a0b637ec42512c3eefa611cff32dedfb,Mama Fu's Asian House,2.0,3.4,78748
