Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"108 Austin St, Buda, TX 78610, USA",cb0c4430dc700cec43779cf79d74d5eb6361be27,Chavelo's Mexican Restaurant,2.0,4.3,78610
"1671 Main St C, Buda, TX 78610, USA",85ef6f6bbc4348739de27c8b171802d3380779a5,IM Thai Cuisine Buda,,4.5,78610
"3420-B FM 967 B110, Buda, TX 78610, United States",963e863fa6cc9b1d1248582c2a669f3153a07c9c,Beijing Bistro - Buda,,3.8,78610
"100 N. Main St., Buda, TX 78610, United States",489cb4f5887394e63ba3b4ef2aeed40b9f99c2ec,Brooklyn's Down South,,4.3,78610
"1750 Farm to Market 1626, Buda, TX 78610, USA",84ea0a30e1261d604afa73b8b51fc9618ae4c13c,Shugabees Texas BBQ,,4.4,78610
"550 Co Rd 117, Buda, TX 78610, USA",7d177e385c65b31dcbf54ab02f95b20459e38287,Cracker Barrel Old Country Store,2.0,4.3,78610
"381 Old San Antonio Rd, Buda, TX 78610, USA",34d8f7b080f1d8bc66a233922d73f45c2fe946da,Hat Creek Burger Company,,4.2,78610
"104 S Main St, Buda, TX 78610, USA",4329a2355abc9dab7eb2e9253fa8f0160fbaa9f3,Garcia's,2.0,4.3,78610
"108 N Main St, Buda, TX 78610, United States",9f1fa5eb3708d8551c9c6ca1e965f8c92360269a,Casa Alde,,4.2,78610
"610 Old San Antonio Rd, Buda, TX 78610, USA",138317ab16a8b748f2f086f264229b4888efcffe,Dan's Hamburgers,1.0,4.5,78610
"824 Main St, Buda, TX 78610, USA",84bc1bc64ace2d0cd193bc7ef1f1a5f54582b185,Willie's Joint BAR and BBQ,,4.2,78610
"1750 Farm to Market 1626, Buda, TX 78610, USA",daf378133e08bdc0b615ec6c70b9c06c883c861e,Buck's Backyard,,4.3,78610
"15705 S IH 35 Frontage Rd, Buda, TX 78610, USA",7de3e3206e3d4358359e9275d41794271b520ba2,Burger King,1.0,3.0,78610
"116 Main St, Buda, TX 78610, USA",8c026a315cf4a0f9aae8b8c5d460a5cd54068b0e,Tavern on Main,1.0,4.2,78610
"15300 I-35, Buda, TX 78610, USA",91bd3cd9f488735eb1cbc86e3edb2dbbea304ab5,SUBWAY®Restaurants,1.0,3.2,78610
"420 Old San Antonio Rd, Buda, TX 78610, USA",6d69d09c731396a8d37f2d5fc6b670c36ad8edbb,Chili's Grill & Bar,1.0,3.9,78610
"580 Old San Antonio Rd, Buda, TX 78610, USA",b3707c8748e2ffed8f2fb3deb33b2f259f42949e,Taco Bell,1.0,3.8,78610
"14500 I-35, Buda, TX 78610, USA",116f01ba1a17bdcfeec9eb5992577724d859c1ed,Abby's Mexican Food,,4.4,78610
"18600 Ih-35 Frontage Rd, Buda, TX 78610, United States",71333357ae04c2472fded320cf37ebb2e764a9a3,Burger King,1.0,2.5,78610
"270 Old San Antonio Rd, Buda, TX 78610, USA",02aac0a3e181bedbe3ebd933f533ebc1ed53b748,Arby's,1.0,3.9,78610
"419 Old San Antonio Rd, Buda, TX 78610, USA",d34df48cd3c6ddc6542a315a23c2b5c0fc27c25e,Logan's Roadhouse,2.0,3.8,78610
