Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"580 Old San Antonio Rd, Buda, TX 78610, USA",b3707c8748e2ffed8f2fb3deb33b2f259f42949e,Taco Bell,1.0,3.8,78610
"14500 I-35, Buda, TX 78610, USA",116f01ba1a17bdcfeec9eb5992577724d859c1ed,Abby's Mexican Food,,4.4,78610
"108 N Main St, Buda, TX 78610, United States",9f1fa5eb3708d8551c9c6ca1e965f8c92360269a,Casa Alde,,4.2,78610
"9900 S Interstate 35 Frontage Rd. #100, Austin, TX 78748, USA",d42a1e765dcd63817fc0b5009971239b93fc4c6b,Amaya's Taco Village,1.0,4.0,78748
"12510, FM1625, Buda, TX 78610, United States",fcc7714bc65400525fdd75ccc9594571c4b6368d,Jay's Tacos,,,78610
"108 Austin St, Buda, TX 78610, USA",cb0c4430dc700cec43779cf79d74d5eb6361be27,Chavelo's Mexican Restaurant,2.0,4.3,78610
"420 Old San Antonio Rd, Buda, TX 78610, USA",6d69d09c731396a8d37f2d5fc6b670c36ad8edbb,Chili's Grill & Bar,1.0,3.9,78610
"720 Old San Antonio Rd, Buda, TX 78610, USA",05e5686ae865f93ca60c9cb33993d38dc6cd511a,Long John Silver's,1.0,3.0,78610
"2011 Little Elm Trail, 106, Cedar Park, TX 78613, United States",a016cfc4a309369f3d2dabbffe334f7695ff8c8c,Guaco Taco,,4.4,78613
"950 N Bell Blvd, Cedar Park, TX 78613, USA",53aecd765f0665febaa5edd889cf08236d4db5b4,Taco Bell,1.0,3.5,78613
"251 N Bell Blvd #111B, Cedar Park, TX 78613, USA",ffeee3824dddc427e4ba14d7656664dfaad45f9e,Los Reyes Mexican Restaurant,2.0,4.2,78613
"1509 E Whitestone Blvd, Cedar Park, TX 78613, USA",195f90e4b5a2385b0deebbee3b18407c5abb817b,Rosa's Cafe & Tortilla Factory,2.0,4.1,78613
"600 S Bell Blvd, Cedar Park, TX 78613, USA",fe5d9a1c63697ec688373722989893a655b7b24c,Jardin Corona,2.0,4.4,78613
"1468 E Whitestone Blvd Ste 100, Cedar Park, TX 78613, USA",88619da41bee72377018338b91070ee0b5b961e1,Torchy's Tacos,,4.4,78613
"1101 N Bell Blvd, Cedar Park, TX 78613, USA",b71732485ed26f3d752efcd455d74fae19329e9f,Taqueria La Tapatia,2.0,3.5,78613
"11066 Pecan Park Blvd, Cedar Park, TX 78613, USA",ca350a954b2a99061f7f816fca024d8f8a563764,Texican Cafe,2.0,4.0,78613
"100 Walton Way, Cedar Park, TX 78613, USA",ed6ff6a83b419b1021d4a982a3240fbc55006e7f,Taco Cabana,1.0,3.4,78613
"1810 S Lakeline Blvd, Cedar Park, TX 78613, USA",3b11ce18e6ac847798ce752f5e84b4ea3815bca4,Taco Bell,1.0,3.2,78613
"202 Walton Way # 110, Cedar Park, TX 78613, USA",191d3bddbc495af397aa641069a66040ca6e6bef,Camino Real,,3.7,78613
"1400 E Whitestone Blvd #100, Cedar Park, TX 78613, USA",1ca6592fdd15e335719e1f80e1f78a1603108940,Taco Shack,,3.8,78613
"200 S Bell Blvd, Cedar Park, TX 78613, USA",1ee67b08a30f7df4d7dcfe5bbe2928713a73f2c8,Los Chilaquiles,2.0,4.1,78613
"4911 183A, Cedar Park, TX 78613, USA",b71270348e190b9265fb2bb405edc4be4bc531b5,Chuy's,,4.3,78613
"11100 Pecan Park Blvd, Cedar Park, TX 78613, USA",8c1da05cdbbf4b9a607b6a62eb260087ecaed5dc,Serranos Cocina y Cantina - Lakeline,2.0,4.0,78613
"4501 183A, Cedar Park, TX 78613, USA",7ddf8027fbb42ac273e6cf174ffb7985a4221529,Lupe Tortilla,,4.2,78613
"1540 Cypress Creek Road #106, Cedar Park, TX 78613, USA",9e2be8554996c1e3a9cfaf13213c7f5aa0c8c305,Cielito Lindo,1.0,4.4,78613
"601 E Whitestone Blvd # 200, Cedar Park, TX 78613, USA",9daa92bd8bdca3415702248339cdf27635bf88cf,C.R. Surf & Turf Restaurant,2.0,4.4,78613
"1600 E Whitestone Blvd, Cedar Park, TX 78613, USA",790a5b374952de5bc52ba704c796a26515231a64,Dos Salsas,,4.3,78613
"325 N Bell Blvd, Cedar Park, TX 78613, USA",266a82c4ac0e82b3998b96c09fd14a39c1b21836,El Pollo Rico,,4.1,78613
"1205 N Bell Blvd, Cedar Park, TX 78613, USA",70540353691979d0f0372c9c60f8b83f222b2ece,Chili's Grill & Bar,1.0,3.7,78613
"909 E Whitestone Blvd, Cedar Park, TX 78613, USA",d4526b45b9b99909cecc38ed1dda3a4861956843,Chipotle Mexican Grill,1.0,4.1,78613
"13820 Farm to Market Road 812, Del Valle, TX 78617, USA",d58ca38ee7f803114c23afa312bdf103d03857f7,Meches Tacos,,4.6,78617
"Mesa Dr, Del Valle, TX 78617, USA",c1b1d039eec178cfb94b8699d3fa526448730808,Lety's Tacos,,4.6,78617
"13602 FM812 Unit B, Del Valle, TX 78617, USA",32bf85df3b4b86eabb6498f79a19df870f5f7dfc,Meches Mexican Restaurant,,4.5,78617
"2463 E State Hwy 71 Service Rd, Del Valle, TX 78617, USA",9dc8cd444db5fdacc9efdf593379f02e6797f65c,Jasmine's Restaurant,,4.5,78617
"5121 Albert Brown Dr, Del Valle, TX 78617, USA",f0b37ae89b2e7ab4bfe39975dc4a19ac4224465d,Hit the Spot Cafe,,4.6,78617
"107 Stork Rd, Del Valle, TX 78617, USA",df82eb666e5214dffa02cd68e239904bf195474b,Taco Stand,,,78617
"9016 Elroy Rd, Del Valle, TX 78617, USA",ccb1d1b1ec7a0c58ccaac324f393f5496cd1e533,pats parking and tacos,,,78617
"2701 Texas 71, Del Valle, TX 78617, USA",6625511882d723dd59f28758da338ab96eb66b70,El Michoacano Mexican Restaurant,,4.0,78617
"1545 US-183, Leander, TX 78641, USA",4120bfffa5a1a13f4e568e3942e44641cbebd064,Taco Bell,1.0,3.5,78641
"651 N. HWY 183, Suite 310, Leander, TX 78641, United States",88efa3f41517d7f9fc862eaf60e9c7178541642f,La Tapatia Mexican Restaurant,2.0,4.1,78641
"11940 Hero Way West, Leander, TX 78641, USA",fc3495ae812f359c2b77b6aebca445312e41356c,Taco Bell,,3.4,78641
"1005 US-183, Leander, TX 78641, USA",ce9cf268622eb58ca49b2f3842b3772c0f93e5d8,Mayito's Mexican Restaurant,,4.4,78641
"1912 S Bagdad Rd, Leander, TX 78641, USA",492dc20306b0a28a551d2d0e46fcc9ce04a33d3b,Camco's Country Kitchen,,5.0,78641
"12110 Manchaca Rd # 102, Austin, TX 78748, USA",eb89b7c3a7de81d4b091b901b4fded30afdb051f,Macho Taco,1.0,4.6,78748
"2301 Bliss Spillar Rd, Manchaca, TX 78652, USA",0a84d179b7c7eb1646a1c80600062ba4baec9f1c,Tony's South Austin Pizza,2.0,4.1,78652
"1105 Farm to Market 1626, Manchaca, TX 78652, USA",18fe81de42b3b8597940489126b580f96384c5be,Mi Ranchito Restaurant,,4.4,78652
"12115 Manchaca Rd, Austin, TX 78748, USA",0bcc3f53a6481f38db6dd76e5ea8cef23ae4a6d0,Taco Aranda Mexican Food,,4.2,78748
"161 W Slaughter Ln, #C, Austin, TX 78748, United States",e847f1bc6cb59677d2badd152a80428f8bff0fc9,Taco Bell,1.0,2.8,78748
"5804 N Interstate 35 Frontage Rd, Austin, TX 78751, USA",ff2733af71330ab10f835a023edc0144bd617fa5,Amaya's Taco Village,1.0,4.2,78751
"3324 W Slaughter Ln, Austin, TX 78748, USA",592848c2b133d992d12792ab37fe645671397706,Taco Bell,1.0,3.3,78748
"9705 Manchaca Rd, Austin, TX 78748, USA",067a027f131115a864cd321ca3b56e880730c7ee,Taco Cabana,1.0,3.2,78748
