Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"1931 E Ben White Blvd #300, Austin, TX 78741, USA",b9eb17dab1edbc2b1a046a224789b1330e44554c,30.2153724,-97.74480340000001,Asia,2.0,3.8,78741
"2712 Bee Caves Rd, Austin, TX 78746, USA",bdefc39e9e72060c0c3f8552220f8ea2ca60d20b,30.2718138,-97.78653829999999,Chinatown,2.0,4.1,78746
"212 E Oltorf St, Austin, TX 78704, USA",b75b51402eec73943491ad3847b6b1c46d7a0ad8,30.2383368,-97.7517201,New Mandarin,2.0,3.5,78704
"3601, 6605 Airport Blvd, Austin, TX 78752, United States",aeca550acd577ada947d15388018945bbcd9b492,30.33069709999999,-97.7153094,China Palace,2.0,3.9,78752
"625 W Ben White Blvd, Austin, TX 78704, USA",ec2339d24cecd5986b306474bb427557f034a055,30.2257869,-97.7711758,Bamboo Garden Chinese Restaurant,2.0,4.0,78704
"10901 N Lamar Blvd, Austin, TX 78753, USA",f7ba6a5b04d098b3265bd2dbb954b1495292b8dc,30.3778041,-97.68781150000001,New Fortune Chinese Seafood Restaurant,2.0,4.3,78753
"4815 W Braker Ln, Austin, TX 78759, USA",b065f06f65bee85cb70cf65ddad37e86d41a8ab6,30.4001528,-97.74802299999999,Twin Lion,2.0,4.3,78759
"603 W Stassney Ln, Austin, TX 78745, USA",ae9093c0f3fc4e3e1b64476a888b716a68390ad3,30.20789499999999,-97.78097600000001,1st Wok,2.0,4.4,78745
"107 W 5th St, Austin, TX 78701, USA",e259af5fd78a9780e9ca0ac710946b8ad1bd0638,30.2672283,-97.7441874,Chinatown,2.0,3.9,78701
"3407 Greystone Dr, Austin, TX 78731, USA",9d64be01b91f73c8eca5c26bea3a3bff79404ffb,30.3565863,-97.74750870000001,Chinatown,2.0,4.0,78731
"6718 Middle Fiskville Rd, Austin, TX 78752, USA",2366e76abd78f4f137ea841b5699672381eb7996,30.3293008,-97.7067817,Shanghai,0.0,3.9,78752
"2800 W William Cannon Dr, Austin, TX 78745, USA",1b9da838439a94590699ca37397e435e34ba0775,30.2083348,-97.81732369999999,China Hill,2.0,3.9,78745
"801 E William Cannon Dr, Austin, TX 78745, USA",687006aedfe3251391c8e909d6c21213b2fd022e,30.1901117,-97.7742277,China Harbor,2.0,3.3,78745
"1000 E 11th St, Austin, TX 78702, USA",16e0adc337729528dc766fa0acc1160809c816a2,30.26961009999999,-97.7297763,Old Thousand,2.0,4.5,78702
"4534 West Gate Blvd, Austin, TX 78745, USA",0a8f28a7edac8268ea58c47098d85438af744c8c,30.23071,-97.80254,Sichuan River,2.0,4.1,78745
"500 W William Cannon Dr #420, Austin, TX 78745, USA",4f300f2056a77ce0e36bfb108ea2f9f2af60612e,30.196564,-97.7852367,Taiwan Restaurant,2.0,3.3,78745
"4006 S Lamar Blvd, Austin, TX 78704, USA",e971a74a49cdb9ed50373800537b2e7bdbd24157,30.2372562,-97.7938039,Hunan Lion,2.0,4.0,78704
"1901 W William Cannon Dr #115, Austin, TX 78745, USA",e8ab1d95da16b3fcd746e6fd6987d9a37eef657a,30.2013612,-97.8056249,Hao Hao Restaurant,2.0,4.1,78745
"IBC Bank Plaza, 500 W 5th St #168, Austin, TX 78701, USA",a7ab15bcdaf437a5e31f3cd509b78b2a9137ec9a,30.268841,-97.7481634,Wu Chow,2.0,4.3,78701
"4200 S Lamar Blvd, Austin, TX 78704, USA",477a9d263adc722c6477946f94a56750f46d73d3,30.235924,-97.795227,Pei Wei,1.0,3.6,78704
"201 San Jacinto Blvd, Austin, TX 78701, USA",7c34c2814c66dc33534adbeb4e64ae7117ec7501,30.263855,-97.7415953,P.F. Chang's,2.0,4.0,78701
"8650 Spicewood Springs Rd #109, Austin, TX 78759, USA",84d30dc8f1a53794922a4927af806a4400b2ea46,30.432805,-97.771553,Dynasty Chinese Restaurant,2.0,4.0,78759
"6818 West Gate Blvd, Austin, TX 78745, USA",9d56fdc337e2c101df72b7b41095b725ca8f0c77,30.2076956,-97.81562559999999,Bamboo Bistro Westgate,0.0,4.0,78745
"13729 US-183 Suite 695, Austin, TX 78750, USA",5c740c8358c893a0d8ede4b696d686d98fdeb0da,30.4588371,-97.7910387,China Cafe,2.0,3.8,78750
"9600 S I-35 Suite C-100, Austin, TX 78748, USA",51368733a0b637ec42512c3eefa611cff32dedfb,30.161394,-97.79199899999999,Mama Fu's Asian House,2.0,3.4,78748
"719 W William Cannon Dr, Austin, TX 78745, USA",45bd9478d1fa37344dcf4659d810a3ac5c5d78d1,30.196489,-97.78876699999999,Super Bowl Restaurant,2.0,3.8,78745
"10114 Jollyville Rd, Austin, TX 78759, USA",0f847de055cbdd06c0835266316f1951b2d123f1,30.395525,-97.75034749999999,P.F. Chang's,2.0,4.1,78759
"3201 Bee Caves Rd, Austin, TX 78746, USA",8344380b557848421e0e0204b244f3970a95cb86,30.2727948,-97.7994767,Lotus Hunan,2.0,4.1,78746
"2110 W Slaughter Ln, Austin, TX 78748, USA",ba10b66213fc2a8871246fd352f294775cdedebf,30.1748349,-97.8269746,China Dynasty,2.0,4.2,78748
"11101 Burnet Rd, Austin, TX 78758, USA",04f3e1eb684ba408303670f79662f72077507e5e,30.3958391,-97.7196452,Bamboo Bistro,2.0,3.8,78758
"5607, 1914 Guadalupe St #A, Austin, TX 78705, United States",bbeedc2e08cb24603522652454a0c0d8903fb7b2,30.282628,-97.742317,Look Noodles & More,0.0,3.9,78705
"8557 Research Blvd #116, Austin, TX 78758, USA",7f03c9570ff5ab647752bd0e3f924335bc2a2eb5,30.361008,-97.7156394,Din Ho Chinese BBQ,2.0,4.2,78758
"9900 S Interstate 35 Frontage Rd O500, Austin, TX 78748, USA",a93f24149d861b36be57bd7e008cb73e7c90f89a,30.153972,-97.793617,Chi Chinese Buffet,2.0,2.7,78748
"1332, 1913 E Riverside Dr, Austin, TX 78741, United States",74126c3ee327733a94b2b10003894e75eb3f813c,30.2420496,-97.7299158,China Express,2.0,3.8,78741
