Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"7701 Broadway St # 20, San Antonio, TX 78209, USA",e1324b2b4cc3acaa8984a51ed8414f7a2b676957,29.4999263,-98.4674106,Frederick's Restaurant,3.0,4.4,78209
"14439 NW Military Hwy #100, San Antonio, TX 78231, USA",24cb3190d188c483fafb3b67a23bda1931783579,29.5741585,-98.5444847,Frederick's Bistro,3.0,4.2,78231
"1012 S Presa St, San Antonio, TX 78210, USA",734896fd04fbcafba1cba492f057250cbc3db2a6,29.4103163,-98.48679750000001,Bite,2.0,4.6,78210
"209 Broadway St, San Antonio, TX 78205, USA",80d7278a09e32d9aaeaa44ceb3526efad3eec827,29.4279569,-98.487763,Saveurs 209,3.0,4.3,78205
"728 S Alamo St, San Antonio, TX 78205, USA",a8924a473d32023f6a2a2e6663e0c8011e9b8dc5,29.4163451,-98.4885394,La Frite Belgian Bistro,2.0,4.2,78205
"1303 McCullough Ave # 110, San Antonio, TX 78212, USA",a371f33ea6c7af2cf4f5e183011a8b24a640b3ae,29.4409744,-98.4926072,French Corner,0.0,0.0,78212
"207 Broadway St, San Antonio, TX 78205, USA",56887017309d8efd6beef4f0566f63cc91c97393,29.4279161,-98.48776319999999,La Boulangerie,1.0,4.7,78205
"4820 Broadway St, San Antonio, TX 78209, USA",7cb9425756b035182821c3b3713492eac5466f7a,29.471027,-98.4629568,la Madeleine French Bakery & Café,2.0,4.4,78209
"515 Villita St, San Antonio, TX 78205, USA",55edf218a54d8abc996f484bda1f14936ecb40fe,29.421901,-98.488253,Fig Tree Restaurant,3.0,4.2,78205
"4499 Medical Dr, San Antonio, TX 78229, USA",0b48194fbdda0048795fcccb075508a85af2ee98,29.5106501,-98.5738093,French Corner Grill,0.0,2.5,78229
"7922 Ewing Halsell Dr # 1100, San Antonio, TX 78229, USA",6d3719777a61943d47bc5e83663abd0b7e110557,29.5129691,-98.5726892,French Corner,0.0,3.5,78229
"11745 I-10 #101, San Antonio, TX 78230, USA",9357c8bb9246c6c1a0fd3a7c5a685c84f980aeee,29.5481978,-98.5826611,la Madeleine French Bakery & Café,2.0,4.3,78230
"7950 Floyd Curl Dr, San Antonio, TX 78229, USA",529188f27cebc7332175dc79d607efad73510c33,29.5125438,-98.57573149999999,French Corner,0.0,4.0,78229
"502 Madison Oak Dr # 170, San Antonio, TX 78258, USA",3336520c2da0fc1b23e9e6c1677fe283e0a41fd3,29.6208391,-98.4907168,French Corner,0.0,5.0,78258
"14415 Blanco Rd, San Antonio, TX 78216, USA",8c53fe7c097fd54d03e53fd7e80a16e552e5b782,29.574086,-98.515435,Mimosa Restaurant and Lounge,0.0,4.0,78216
"18030 US Highway 281 N., Suite 201, San Antonio, TX 78232, United States",6f031df7a49831499da44b89a6f6a85988237cf2,29.60457,-98.46898399999999,la Madeleine French Bakery & Café Northwoods,2.0,4.2,78232
"1777 NE Interstate 410 Loop, San Antonio, TX 78217, USA",fb4bf693375c12e74c423b4f0e597936ccfdd8ea,29.5170058,-98.4365277,French Corner,0.0,0.0,78217
"8448 Fredericksburg Rd, San Antonio, TX 78229, USA",ec3710d72b4ec78b675ed58e4b43ab16590924fd,29.5193865,-98.5718351,French Sandwiches,1.0,4.7,78229
"152 E Pecan St #100, San Antonio, TX 78205, USA",1a72540e25f504cc24c9574b7fa655fded561317,29.4284896,-98.4915614,Restaurant Gwendolyn,4.0,4.7,78205
"17315 Frontage Rd, San Antonio, TX 78257, USA",8fdee585abb6dc60e2e5242616481aaa6c5ada91,29.60534,-98.600005,Mimi's Cafe,2.0,3.7,78257
"722 NW Loop 410, San Antonio, TX 78216, USA",2dccc1bf6f0b2cbeaea7cc73befae5800364c9fc,29.519763,-98.50452279999999,la Madeleine French Bakery & Café,2.0,4.1,78216
"555 E Basse Rd #113, San Antonio, TX 78209, USA",44e92011034bae57bcc16249e9ba6cab1cf6ae6c,29.49933,-98.47476759999999,Cafe Dijon,0.0,4.3,78209
"3920 Harry Wurzbach Rd, San Antonio, TX 78209, USA",ea26da0b208671123ef34eaab84aca271d901a7b,29.5062144,-98.434103,Crumpets Restaurant & Bakery,3.0,3.7,78209
"218 E Olmos Dr, San Antonio, TX 78212, USA",ff4af3420462449ac16bb0217eb70cada5c1bd47,29.4705767,-98.49109519999999,Chez Vatel Bistro,3.0,4.2,78212
