Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"1931 E Ben White Blvd #300, Austin, TX 78741, USA",b9eb17dab1edbc2b1a046a224789b1330e44554c,30.2153724,-97.74480340000001,Asia,2.0,3.8,78741
"4140 Governors Row, Austin, TX 78744, USA",9751df9330a4122d18d5b499bfbd0feb349c5107,30.214778,-97.75044299999999,Onion Creek Grill,0.0,4.2,78744
"2320 Interregional Hwy, Austin, TX 78704, USA",0773617ca47bf7cd3b4417a29a84ac73b2f589b6,30.233226,-97.742554,Denny's,1.0,3.6,78704
"4415 S IH 35 Frontage Rd, Austin, TX 78744, USA",11f5619d001395ccabd5c53f46b258e87a401b76,30.2109152,-97.753298,The Limestone Kitchen Restaurant & Lounge,0.0,3.2,78744
"628 E Oltorf St, Austin, TX 78704, USA",d92f221f754d58eefb290a7b525e59a266594a02,30.2370862,-97.7488236,Con Madre Kitchen,0.0,4.6,78704
"2200 S IH 35 Frontage Rd, Austin, TX 78704, USA",bc9dbd3b0f0f735ceda96fd37ea2554996c5c887,30.2354362,-97.7413108,Opal Divine’s Austin Grill,1.0,3.9,78704
"3100 South Congress Avenue a, Austin, TX 78704, United States",c83f74bc4a12cbb521096c5ff7301793b259d627,30.2317051,-97.75948029999999,Poke-Poke,1.0,4.5,78704
"1001 E Ben White Blvd, Austin, TX 78704, USA",5d69f1645ee53cdd535cf5a046a4515d0a28b1e2,30.2167376,-97.7548771,Burger King,1.0,3.2,78704
"D, 500 E Ben White Blvd #500, Austin, TX 78704, USA",8813126f2b30d0117b1ca3490a5e959810d1a016,30.2211803,-97.75690399999999,SUBWAY®Restaurants,1.0,3.3,78704
"201 E Oltorf St, Austin, TX 78704, USA",e291a676724da9f53b5c8bac6b9d743a160fd90f,30.2377552,-97.7525201,Taco Bell,1.0,3.5,78704
"2218 College Ave, Austin, TX 78704, USA",1de0d3e2f104f68ebd129f7681080988a708e8d8,30.24051799999999,-97.753444,Lucy's Fried Chicken,2.0,4.3,78704
"2206 S Congress Ave, Austin, TX 78704, USA",ef9217954a4cf9c9cf7fa9ad1fa4e8337e047952,30.2410692,-97.75289169999999,Southside Flying Pizza,0.0,4.0,78704
"4700 S Congress Ave, Austin, TX 78745, USA",d22f5ba2bd590e27d1dfb2c1a3c3b2e4b8b84ab8,30.2156792,-97.76877569999999,Hill's Cafe,2.0,4.1,78745
"2201 College Ave, Austin, TX 78704, USA",08e9dee5b7af60317928b1dfa3da6c70d72f4a7f,30.241289,-97.7520641,Vinaigrette,2.0,4.4,78704
"4327 S 1st St # 102, Austin, TX 78745, USA",53a21e576416b0efdd07b611bcb9dacdda024196,30.2215108,-97.77228219999999,Casa Maria,2.0,4.1,78745
"1920 S Congress Ave, Austin, TX 78704, USA",576903b6cd5a750bc5d5547b91783798758924fd,30.244473,-97.7519487,Magnolia Cafe,1.0,4.3,78704
"2004 S 1st St, Austin, TX 78704, USA",c742f1debf2ee5b22f843d3d150a6486e24fca06,30.2453122,-97.75742699999999,Polvos,2.0,4.1,78704
"1807 S 1st St, Austin, TX 78704, USA",2d9378243bcd8f72266c787a24c1a6c14a78c4a0,30.2468497,-97.7558562,LENOIR,4.0,4.5,78704
"2410 E Riverside Dr A1, Austin, TX 78741, USA",e6d25f402253aa04d185253d5e36da9b9cdd1799,30.2361502,-97.7236902,Wingstop,1.0,3.9,78741
"1900 S 1st St, Austin, TX 78704, USA",c1210e23235f08225a79c4a39799b9bde097d03f,30.2464928,-97.7567904,Bouldin Creek Cafe,1.0,4.6,78704
