Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"606 West Ave, San Antonio, TX 78201, USA",ad221873d25b80db38eaf78db8314b1d96325fde,29.468196,-98.5257465,Jacala Mexican Restaurant,2.0,4.0,78201
"3319 Hillcrest Dr, San Antonio, TX 78201, USA",0d7d67b76f7e772c7baadff88df8b95bf43d2465,29.492208,-98.55420799999999,Jim's Restaurant,2.0,4.1,78201
"3909 Fredericksburg Rd, San Antonio, TX 78201, USA",5d96f5fff51d230f372c42978eecdea3019d0b42,29.4825382,-98.54481,South Garden Chinese Restaurant,2.0,4.3,78201
"606 W Cypress St, San Antonio, TX 78212, USA",859975d0886755c6dde56228b464ec5f56290ff1,29.440464,-98.50053199999999,The Cove,2.0,4.4,78212
"5115 Fredericksburg Rd, San Antonio, TX 78229, USA",0b0d829fabca338094175301102b9e01b13670af,29.501592,-98.560025,Sangria on the Burg,1.0,4.5,78229
"1106 Vance Jackson Rd, San Antonio, TX 78201, USA",46fcb9dc5903d40e35170eb0aeca38fdda02b465,29.4836733,-98.53481219999999,Taqueria Jimador Restaurant,0.0,3.8,78201
"4515 Fredericksburg Rd, San Antonio, TX 78201, USA",1bf4893c2e4e538f00e389192e7577e5db45aedd,29.4892483,-98.55116389999999,Garibaldi's Mexican Restaurant # 4,0.0,3.7,78201
"3720 NW Loop 410, San Antonio, TX 78229, USA",33d2b0f5098cb9e9a932f659eee09236f22a49fc,29.4925271,-98.55529279999999,Turquoise Grill,2.0,4.4,78229
"4510 Fredericksburg Rd, San Antonio, TX 78201, USA",d0ac8ac0a83ee84ad8304589cfb645dc591f5e8e,29.4903106,-98.55094129999999,Denny's,1.0,3.8,78201
"4531 NW Loop 410, San Antonio, TX 78229, USA",fe310396926ccf429b89a63d61d6076e6d02f29f,29.4901217,-98.5726913,Ding How Chinese Restaurant,2.0,4.3,78229
"2427 Vance Jackson Rd, San Antonio, TX 78213, USA",c8498c1f8be799b1056862d11abcfd07fd89caf7,29.495864,-98.5352669,La Fogata Mexican Cuisine,1.0,4.2,78213
"2415 N Main Ave, San Antonio, TX 78212, USA",637d168f276e61b420c0a7e0437a6e4d53df6e3f,29.452524,-98.4941741,La Fonda On Main,2.0,4.4,78212
"351 W Hildebrand Ave, San Antonio, TX 78212, USA",e931ae78c6b3316bf5c24dd15c5ecfd3975bdca1,29.466765,-98.4987562,Jim's Restaurant,2.0,4.1,78212
"152 E Pecan St #100, San Antonio, TX 78205, USA",1a72540e25f504cc24c9574b7fa655fded561317,29.4284896,-98.4915614,Restaurant Gwendolyn,4.0,4.7,78205
"419 N St Mary's St, San Antonio, TX 78205, USA",bddb18acb9418e35d9f58def1f5fef0897a1f834,29.4280691,-98.4914402,The Original Blanco Cafe,1.0,4.3,78205
"146 E Houston St, San Antonio, TX 78205, USA",2789f5d147839e937d2f78ef8abfda25ddf3622a,29.426328,-98.491845,Acenar Mexican Restaurant,2.0,4.1,78205
"120 Produce Row, San Antonio, TX 78207, USA",1107ca0108b3d6e150dc04bd77b8ec0a5f4549f2,29.4249476,-98.49906949999999,La Margarita Mexican Restaurant & Oyster Bar,2.0,3.9,78207
"200 River Walk St #100, San Antonio, TX 78205, USA",9de1b15640df5f2f2bcf2b886f4d860656c729d1,29.425071,-98.491085,Iron Cactus Mexican Restaurant and Margarita Bar,3.0,4.0,78205
"136 E Grayson St #120, San Antonio, TX 78215, USA",7cb46f98cff57d2d3bd2ddaa4f14cc3410f5859f,29.4425381,-98.4806333,Southerleigh Fine Food and Brewery,2.0,4.5,78215
"705 E Houston St, San Antonio, TX 78205, USA",f5c0176d4082705ad31f2dec8886ea95fd4992d8,29.426511,-98.48580899999999,Oro Restaurant & Bar,2.0,3.7,78205
"219 E Houston St, San Antonio, TX 78205, USA",2154887eb3994e5a9bca9a988553b8b4bc40d61a,29.4266816,-98.4903842,Bohanan's Prime Steaks and Seafood,3.0,4.5,78205
"420 W Market St, San Antonio, TX 78205, USA",6077ef5498701038dcdf011439407517486cf72a,29.4234512,-98.4907825,Zocca Cuisine D’Italia,0.0,4.0,78205
"306 Pearl Pkwy #101, San Antonio, TX 78215, USA",74cbfe593d48052bda50772d2c2bcbbdc08f068d,29.4419597,-98.4798869,Cured,2.0,4.5,78215
"306 W Market St, San Antonio, TX 78205, USA",ed23d20a0302ddfdc0cf25917edec5a43f784eb1,29.4230778,-98.4897972,Las Ramblas,2.0,3.8,78205
"200 S Alamo St, San Antonio, TX 78205, USA",ce6fd846ba9dfc013b583438e8974bc0a7026be6,29.4228401,-98.48766619999999,The River's Edge Cafe + Patio Bar,0.0,3.5,78205
"515 Villita St, San Antonio, TX 78205, USA",55edf218a54d8abc996f484bda1f14936ecb40fe,29.421901,-98.488253,Fig Tree Restaurant,3.0,4.2,78205
"739 E César E. Chávez Blvd, San Antonio, TX 78205, USA",4689a32eb445e4bfc963ce719f3858554f623475,29.4190488,-98.48360339999999,Chart House,3.0,3.7,78205
"1170 E. Commerce, San Antonio, TX 78205, USA",791a08b993faf3211f2642ed989839e4325770de,29.421478,-98.478509,Smoke The Restaurant,2.0,3.5,78205
"910 S Alamo St, San Antonio, TX 78205, USA",fa522301a0eaa31b1186056d3d787f5936750ff9,29.4154031,-98.4895912,Rosario's,1.0,4.3,78205
"1024 S Alamo St, San Antonio, TX 78210, USA",8eba97e35e69ae6c93cac38c1a21d740f4d6b4b5,29.4133558,-98.4910556,Feast,2.0,4.2,78210
"926 S Presa St, San Antonio, TX 78210, USA",79ca1b58ddc70f252b704edbcd87d08967f55e6a,29.4112722,-98.4870017,Bliss,3.0,4.8,78210
"5011 Broadway St, San Antonio, TX 78209, USA",06eceba56d4d123485d32e62ce01a67de2aa2a87,29.47265,-98.46345699999999,Cappy's Restaurant,2.0,4.5,78209
"526 River Walk St, San Antonio, TX 78205, USA",618dbc339fc41dc1d942e3fd0bb91b7b2afd1bf7,29.4239941,-98.4881503,Republic of Texas Restaurant on the Riverwalk,2.0,3.3,78205
"849 E Commerce St #409, San Antonio, TX 78205, USA",1629576e35f4af82d180d10a8ecba5ecdeab084a,29.42347,-98.4849416,Yard House,0.0,4.1,78205
"The St. Anthony Hotel, 300 E Travis St, San Antonio, TX 78205, USA",804fecd2cedfabb12c76a81800c567a55127a9c1,29.4272901,-98.4895779,Rebelle,3.0,4.5,78205
"205 E Guenther St, San Antonio, TX 78204, USA",018e58abc278f2f6a5e85a3459d4767ae0e6bea3,29.4114515,-98.4958017,The Guenther House,2.0,4.5,78204
"inside Radius Building, 106 Auditorium Cir, San Antonio, TX 78205, United States",8b7a51f61a03a245aa3492bdc50e755fbf5dd5f0,29.42953199999999,-98.4880998,Pharm Table,2.0,4.5,78205
"207 N Presa St, San Antonio, TX 78205, USA",1f81625e44467e722df73188c09085c86c03da08,29.4236413,-98.4892548,Zinc Bistro & Bar,2.0,4.4,78205
"842 Fredericksburg Rd, San Antonio, TX 78201, USA",46fdc7f66ae3145e5b1a51e8c25c92087b7aec63,29.4517268,-98.51331669999999,Garcia's Mexican Food To Go,2.0,4.6,78201
"233 E Houston St, San Antonio, TX 78205, USA",f9ed358340079e941ba47222bc6a8104def06d11,29.4267476,-98.4900983,The Palm San Antonio,3.0,4.2,78205
"3720 NW Loop 410, San Antonio, TX 78229, USA",dd00043dd7c19293d7d2c78031acbce6eb4e4f6a,29.4925271,-98.55529279999999,Turkish Mediterranean restaurant,0.0,3.3,78229
"255 E Basse Rd # 940, San Antonio, TX 78209, USA",f49b9e10c47ffb3a3dbb1599bbeacc8f337692bf,29.4974781,-98.48173849999999,20nine Restaurant & Wine Bar,2.0,4.4,78209
"517 N Presa St, San Antonio, TX 78205, USA",7768fe855ce669998f3f2a91fe158eb6053bccef,29.4258271,-98.4888319,Landry's Seafood House,2.0,3.7,78205
"815 Bandera Rd, San Antonio, TX 78228, USA",3068f4f03ebffd4db7b0aff4438637ad08c0828b,29.456134,-98.55422899999999,Lisa's Mexican Restaurant,1.0,3.9,78228
"1922 N Zarzamora, San Antonio, TX 78201, USA",72f4431c71177d5a885aa64168859f9f26a54ba4,29.44815699999999,-98.5243687,Leticia's Mexican Restaurant,0.0,3.9,78201
