Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"3632 S Congress Ave, Austin, TX 78704, USA",ab9bdcd4f5d35546b5544971d764f3fd947921c5,30.226596,-97.7622626,Papalote Taco House,0.0,4.5,78704
"121 Pickle Rd, Austin, TX 78704, USA",603e6b0c9db981bd2480b4807ccb65628d163317,30.2269355,-97.7625097,Pueblo Viejo Taco Truck,0.0,4.8,78704
"628 E Oltorf St, Austin, TX 78704, USA",d92f221f754d58eefb290a7b525e59a266594a02,30.2370862,-97.7488236,Con Madre Kitchen,0.0,4.6,78704
"4619 S Congress Ave, Austin, TX 78745, USA",e127eafee8ceba580503fdb3bc43744b9e3f0836,30.2152954,-97.7679052,San Juanita's Tacos,0.0,4.4,78745
"2316 S 1st St, Austin, TX 78704, USA",acfaa5926a3e8b20c7a5a2b70f39a6228bddb134,30.2424196,-97.7595987,El Tacorrido,0.0,4.2,78704
"201 E Oltorf St, Austin, TX 78704, USA",e291a676724da9f53b5c8bac6b9d743a160fd90f,30.2377552,-97.7525201,Taco Bell,1.0,3.5,78704
"2809 S 1st St, Austin, TX 78704, USA",e240059ca7156f2842a541e4e98d9bc9c1047cb7,30.2367541,-97.76280109999999,Torchy's Tacos,1.0,4.5,78704
"1822 S Congress Ave, Austin, TX 78704, USA",276fea78ec169bd56156bf58d92dd18b3b79178f,30.245432,-97.75151969999999,Torchy's Tacos,0.0,4.5,78704
"2507 E Riverside Dr, Austin, TX 78741, USA",e3525494e36f4ae58a869b63ef2d58ad9c9558a3,30.2337434,-97.7242577,Taco Cabana,1.0,3.0,78741
"2308 E Riverside Dr, Austin, TX 78741, USA",b07c2328a7f4fa6f4277f6fb7306de813c8c5ed9,30.2381503,-97.7252769,Taco Bell,1.0,3.7,78741
"1412 S Congress Ave, Austin, TX 78704, USA",2ef50c890ebf9d82ba6e15b2c617caf2c6668029,30.2490609,-97.7500476,Güero's,2.0,3.9,78704
"1503 S 1st St, Austin, TX 78704, USA",f4adb623edff30d8a5e8358b2a03335c2b68593b,30.2493689,-97.7549435,Mellizoz Tacos,1.0,4.2,78704
"1311 S 1st St, Austin, TX 78704, USA",3877209567fb381f47f38b914bfe6aaf5ebbcb49,30.2509257,-97.75423359999999,Torchy's Tacos,1.0,4.6,78704
"1701 W Ben White Blvd, Austin, TX 78704, USA",cc532867926fa858ef9e0925b1cb82443aa9fa0c,30.22774,-97.78527989999999,Taco Bell,1.0,2.8,78704
"2529 S Lamar Blvd, Austin, TX 78704, USA",c4c4d61c9ffd7c6a10f3f400a2c92bb385db4465,30.2457662,-97.7781976,Maria's Taco Xpress,1.0,4.2,78704
"6511 S IH 35 Frontage Rd, Austin, TX 78744, USA",cfb7797f04330629544c0a6eddabda2e23f88e3d,30.1908748,-97.76903449999999,Taco Bell,1.0,3.3,78744
"6430 S IH 35 Frontage Rd, Austin, TX 78745, USA",7c34076ba5a83536cebb91981448c19dab7e84a6,30.1913107,-97.770955,Taco Cabana,1.0,3.6,78745
"2803 S Lamar Blvd, Austin, TX 78704, USA",aa54b5be00d522eeb927155b244dc1f4ac340c93,30.2435326,-97.78189789999999,Papalote Taco House,1.0,4.6,78704
"3005 S Lamar Blvd, Austin, TX 78704, USA",f8c4e24524d9c5ffceb359a5f75dbc49d403ee3c,30.2415377,-97.7842878,Torchy's Tacos,1.0,4.5,78704
"2117 W Ben White Blvd, Austin, TX 78704, USA",1026f1e8f4fdb28a4ed19578a39b1c50487c0c16,30.23059169999999,-97.79142569999999,Taco Cabana,1.0,3.5,78704
"500 E Ben White Blvd D-100, Austin, TX 78704, USA",71484156dd46b690d12328c0e9aab1ad7ae49e4a,30.2210017,-97.75701939999999,Cabo Bob's,2.0,4.6,78704
"4327 S 1st St # 102, Austin, TX 78745, USA",53a21e576416b0efdd07b611bcb9dacdda024196,30.2215108,-97.77228219999999,Casa Maria,2.0,4.1,78745
"502 W William Cannon Dr, Austin, TX 78745, USA",533454dd71e8bc858651267e42f5b32e1ed42207,30.1966833,-97.78586399999999,Taco Bell,1.0,3.1,78745
"500 E 4th St, Austin, TX 78701, USA",ecc22bc448a419d258eb4c9cec84fa8007aea959,30.2651646,-97.7380912,Austin Taco Project,2.0,3.9,78701
"402 Brazos St, Austin, TX 78701, USA",b782d0c20d51ddfba0dcbcc30c563a6f7183499d,30.2660138,-97.7422624,Taco Shack,1.0,3.7,78701
"Little Woodrow's, 520 W 6th St, Austin, TX 78701, USA",81cd894609830b6584d6b7932ae769d79e489ec9,30.269853,-97.748172,OneTaco,2.0,4.2,78701
"1500 Spyglass Dr, Austin, TX 78746, USA",ba980e571ec98744ea99ee3889a13004bb9e44fd,30.258426,-97.78760500000001,Tacodeli,1.0,4.6,78746
