Zip,NA,$,$$,$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78610,1.0,0.0,0.0,0.0,1.0,3.8,80378,90965.0,23502,30.078514000000002,-97.838012
78613,0.0,2.0,0.0,0.0,2.0,3.15,77679,90182.0,65099,30.503949,-97.8242
78640,1.0,1.0,0.0,0.0,2.0,3.2,63641,69747.0,42954,29.999103,-97.82820699999999
78653,0.0,1.0,0.0,0.0,1.0,3.4,56674,68316.0,16375,30.339696000000004,-97.523512
78660,0.0,1.0,1.0,0.0,2.0,3.9000000000000004,72566,81349.0,68789,30.439629999999998,-97.594687
78664,1.0,3.0,0.0,0.0,4.0,3.725,64587,75576.0,52932,30.501927000000002,-97.647251
78681,0.0,0.0,4.0,0.0,4.0,3.95,91674,99772.0,50606,30.534423999999998,-97.725741
78701,1.0,2.0,4.0,0.0,7.0,3.9714285714285715,65353,129093.0,6841,30.270569000000002,-97.742589
78702,0.0,0.0,1.0,0.0,1.0,4.5,31715,45128.0,21334,30.263378000000003,-97.714483
78703,6.0,11.0,18.0,5.0,40.0,4.072499999999999,80708,129537.0,19307,30.293267999999998,-97.76605
78704,0.0,3.0,5.0,1.0,9.0,4.011111111111111,47497,64064.0,42117,30.243032,-97.76508100000001
78705,2.0,2.0,2.0,0.0,6.0,4.1499999999999995,14590,26432.0,31340,30.294333,-97.738517
78712,1.0,2.0,0.0,0.0,3.0,3.9333333333333336,8321,12821.0,860,30.282172999999997,-97.731003
78717,4.0,0.0,3.0,0.0,7.0,3.9714285714285715,98157,109267.0,22538,30.492408,-97.748324
78719,1.0,1.0,2.0,0.0,4.0,3.25,52382,60811.0,1764,30.195371999999995,-97.66844499999999
78721,1.0,2.0,0.0,0.0,3.0,3.766666666666667,30019,36317.0,11425,30.269969,-97.683557
78722,2.0,0.0,0.0,0.0,2.0,4.6,41729,56325.0,5901,30.289963,-97.71469599999999
78723,0.0,1.0,2.0,0.0,3.0,3.5333333333333337,40820,53438.0,28330,30.304274,-97.685715
78724,0.0,0.0,1.0,0.0,1.0,4.1,38909,45950.0,21696,30.292599,-97.61817099999999
78726,0.0,1.0,0.0,0.0,1.0,3.5,89862,119959.0,13122,30.430940999999997,-97.840101
78727,3.0,6.0,4.0,0.0,13.0,3.984615384615385,67287,77216.0,26689,30.429937,-97.71779599999999
78728,0.0,0.0,1.0,0.0,1.0,3.8,51163,59428.0,20299,30.45417,-97.692183
78729,1.0,0.0,1.0,0.0,2.0,3.7,59267,68418.0,27108,30.458396,-97.755344
78730,0.0,0.0,1.0,0.0,1.0,4.2,121702,164675.0,7955,30.370265999999997,-97.836156
78731,1.0,0.0,3.0,0.0,4.0,4.075,66320,92031.0,17465,30.348236,-97.768136
78732,1.0,0.0,0.0,0.0,1.0,4.0,120657,142769.0,14060,30.377889,-97.895023
78733,3.0,0.0,0.0,0.0,3.0,4.6000000000000005,125088,165335.0,8762,30.321329,-97.884738
78734,1.0,0.0,2.0,0.0,3.0,3.966666666666667,82471,112694.0,17655,30.378736,-97.950592
78735,4.0,1.0,10.0,0.0,15.0,3.873333333333333,78171,130697.0,16131,30.268138,-97.86919
78736,2.0,0.0,0.0,0.0,2.0,4.3,79837,88374.0,6946,30.261084000000004,-97.959435
78737,2.0,2.0,1.0,0.0,5.0,4.0,109027,124373.0,12081,30.190246000000002,-97.956906
78738,7.0,8.0,9.0,2.0,26.0,4.061538461538462,115761,148243.0,12134,30.319747999999997,-97.958224
78741,0.0,3.0,3.0,0.0,6.0,3.966666666666667,28600,36263.0,44935,30.230506,-97.714185
78745,2.0,1.0,11.0,0.0,14.0,3.8714285714285714,40987,49678.0,48532,30.206851,-97.797384
78746,0.0,1.0,3.0,0.0,4.0,4.125,144895,202076.0,26928,30.296865000000004,-97.809578
78748,0.0,1.0,5.0,0.0,6.0,3.366666666666667,66880,78273.0,40651,30.167109999999997,-97.823998
78749,5.0,6.0,2.0,0.0,13.0,4.06153846153846,81805,89939.0,34449,30.216184000000002,-97.85585
78750,3.0,1.0,3.0,0.0,7.0,4.114285714285715,83540,101234.0,26814,30.418557,-97.802545
78751,6.0,14.0,17.0,2.0,39.0,4.066666666666666,37072,53651.0,14385,30.310782,-97.722759
78752,1.0,2.0,2.0,0.0,5.0,3.8200000000000003,30477,42032.0,18064,30.331813,-97.704287
78753,1.0,3.0,9.0,0.0,13.0,3.9076923076923076,39658,49108.0,49301,30.382462,-97.673473
78756,3.0,12.0,9.0,2.0,26.0,4.250000000000001,49860,68180.0,7194,30.322229999999998,-97.740167
78757,2.0,0.0,3.0,0.0,5.0,3.6799999999999997,53358,66369.0,21310,30.351538,-97.732571
78758,4.0,0.0,3.0,0.0,7.0,3.914285714285714,42886,51581.0,44072,30.387978999999998,-97.70685300000001
78759,1.0,1.0,7.0,0.0,9.0,3.933333333333333,73831,91009.0,37767,30.402665000000002,-97.761062
