Zip,NA,$,$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
50009,0.0,1.0,0.0,1.0,3.4,64213,76658.0,16136,41.644957,-93.45933000000001
50021,1.0,1.0,2.0,4.0,3.825,75452,82753.0,21595,41.724267,-93.56532
50023,1.0,0.0,1.0,2.0,4.15,75112,83243.0,27986,41.730271,-93.634978
50111,2.0,0.0,0.0,2.0,4.35,82079,94849.0,9407,41.700917,-93.80392900000001
50131,1.0,0.0,0.0,1.0,3.3,42306,53514.0,9487,41.69212,-93.71515600000001
50211,0.0,0.0,1.0,1.0,3.9,69115,86958.0,11192,41.455311,-93.705269
50263,0.0,0.0,1.0,1.0,4.7,80728,90352.0,16069,41.593171000000005,-93.874712
50265,2.0,0.0,1.0,3.0,4.1000000000000005,68925,85534.0,31653,41.553084000000005,-93.744782
50266,4.0,3.0,2.0,9.0,3.933333333333334,67950,95556.0,23625,41.570085,-93.798416
50309,10.0,6.0,5.0,21.0,4.2714285714285705,26127,53840.0,5431,41.584603,-93.620836
50310,6.0,1.0,1.0,8.0,3.925,52867,62843.0,30221,41.627582000000004,-93.67266
50311,1.0,0.0,2.0,3.0,3.766666666666667,43844,53268.0,15113,41.601037,-93.672894
50312,5.0,0.0,1.0,6.0,3.9166666666666665,55663,84158.0,15339,41.582678,-93.67667
50313,0.0,0.0,1.0,1.0,3.6,49202,55731.0,17376,41.654477,-93.62418000000001
50314,2.0,0.0,0.0,2.0,4.45,29616,36782.0,12465,41.604964,-93.6312
50315,6.0,0.0,1.0,7.0,4.142857142857143,41995,50759.0,35853,41.545918,-93.622124
50316,4.0,0.0,1.0,5.0,3.8,33587,42250.0,16440,41.608629,-93.599579
50317,1.0,1.0,1.0,3.0,3.8333333333333335,46642,52568.0,36207,41.617463,-93.546621
50320,4.0,7.0,3.0,14.0,4.0,52870,64317.0,20027,41.527941999999996,-93.56796700000001
50321,2.0,0.0,0.0,2.0,4.45,61603,89142.0,7846,41.535138,-93.66524799999999
50322,2.0,0.0,0.0,2.0,4.05,70159,79576.0,30871,41.634164,-93.73436
50324,0.0,0.0,1.0,1.0,2.9,64104,73812.0,4903,41.604409000000004,-93.712848
50325,0.0,1.0,1.0,2.0,3.5,99766,122016.0,15448,41.613243,-93.797871
