Zip,NA,$,$$,$$$,$$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78006,0.0,1.0,0.0,0.0,0.0,1.0,3.2,76569,103831.0,27558,29.85855,-98.703353
78023,0.0,1.0,0.0,0.0,0.0,1.0,4.1,97812,113925.0,24330,29.609914,-98.746764
78073,1.0,2.0,0.0,0.0,0.0,3.0,3.5999999999999996,38623,45954.0,8171,29.243915,-98.622442
78112,0.0,1.0,0.0,0.0,0.0,1.0,3.5,46750,54945.0,7941,29.185854,-98.39527199999999
78148,1.0,0.0,0.0,0.0,0.0,1.0,3.2,57290,66831.0,20139,29.543813,-98.29535600000001
78154,0.0,1.0,0.0,0.0,0.0,1.0,4.1,77200,85121.0,30347,29.547159000000004,-98.262598
78201,4.0,5.0,4.0,0.0,0.0,13.0,4.023076923076923,32231,41258.0,45307,29.468413,-98.528889
78202,2.0,0.0,1.0,0.0,0.0,3.0,4.2,21816,30712.0,11691,29.428169,-98.460881
78203,5.0,1.0,0.0,0.0,0.0,6.0,3.5333333333333337,23685,29252.0,6099,29.4151,-98.45912299999999
78204,15.0,6.0,9.0,0.0,0.0,30.0,3.9533333333333327,32146,41460.0,11125,29.404404,-98.505028
78205,17.0,13.0,29.0,15.0,2.0,76.0,3.8249999999999993,25779,69618.0,1453,29.423945,-98.48642
78207,18.0,8.0,7.0,0.0,0.0,33.0,4.03939393939394,22893,30557.0,55514,29.422124,-98.52597800000001
78208,9.0,6.0,2.0,0.0,0.0,17.0,3.382352941176471,21809,26147.0,3736,29.43993,-98.458718
78209,6.0,19.0,29.0,4.0,0.0,58.0,4.132758620689655,70758,106227.0,39197,29.488906,-98.45623499999999
78210,7.0,3.0,6.0,2.0,0.0,18.0,4.283333333333334,31576,39714.0,36865,29.395776,-98.464401
78211,7.0,7.0,0.0,0.0,0.0,14.0,4.05,30527,36845.0,31944,29.34255,-98.570024
78212,3.0,5.0,10.0,0.0,1.0,19.0,4.178947368421053,41266,64277.0,28415,29.464610999999998,-98.49365300000001
78213,4.0,3.0,5.0,0.0,0.0,12.0,4.2749999999999995,40450,50202.0,40396,29.516395000000003,-98.52301700000001
78214,6.0,5.0,4.0,0.0,0.0,15.0,3.9533333333333336,28470,36992.0,23341,29.324786,-98.470039
78215,18.0,6.0,10.0,4.0,0.0,38.0,4.205263157894737,27045,59816.0,1150,29.441229999999997,-98.480515
78216,18.0,12.0,23.0,2.0,0.0,55.0,3.9890909090909097,47542,62095.0,40267,29.537264,-98.487882
78217,16.0,9.0,13.0,0.0,0.0,38.0,4.0,45881,59010.0,32165,29.538073999999998,-98.415198
78218,16.0,17.0,9.0,0.0,0.0,42.0,3.9690476190476196,35393,45002.0,31917,29.490047999999998,-98.39713499999999
78219,10.0,12.0,7.0,0.0,0.0,29.0,3.706896551724138,39829,44012.0,15225,29.446661,-98.387393
78220,11.0,8.0,3.0,0.0,0.0,22.0,3.936363636363636,30467,38329.0,15965,29.418151,-98.39431400000001
78221,16.0,14.0,8.0,0.0,0.0,38.0,3.934210526315789,36193,43168.0,35990,29.298776,-98.483212
78222,10.0,9.0,2.0,0.0,0.0,21.0,3.4333333333333336,46838,53944.0,19408,29.354940000000003,-98.371889
78223,5.0,13.0,6.0,0.0,0.0,24.0,3.9375000000000004,38858,43947.0,50637,29.311940000000003,-98.391006
78224,4.0,14.0,3.0,0.0,0.0,21.0,3.89047619047619,37822,46828.0,17601,29.306228000000004,-98.530819
78225,2.0,3.0,2.0,0.0,0.0,7.0,4.042857142857143,30710,39026.0,13025,29.387990000000002,-98.526028
78226,11.0,3.0,1.0,0.0,0.0,15.0,3.433333333333333,28708,37079.0,6644,29.383778000000003,-98.56994
78227,8.0,18.0,7.0,0.0,0.0,33.0,3.9696969696969697,36847,44811.0,46077,29.406624,-98.630303
78228,4.0,3.0,2.0,0.0,0.0,9.0,4.044444444444444,32230,40938.0,58811,29.460646,-98.571279
78229,12.0,10.0,13.0,0.0,0.0,35.0,4.065714285714287,32749,43803.0,28804,29.501860999999998,-98.56930200000001
78230,11.0,14.0,17.0,0.0,0.0,42.0,4.171428571428572,61084,80761.0,39089,29.546515000000003,-98.55720699999999
78231,0.0,2.0,3.0,1.0,0.0,6.0,4.25,74444,105885.0,7906,29.578540999999998,-98.541904
78232,11.0,10.0,17.0,2.0,0.0,40.0,3.9899999999999998,72727,88462.0,35120,29.588638,-98.474585
78233,6.0,9.0,3.0,0.0,0.0,18.0,4.133333333333334,53220,60121.0,43710,29.555818,-98.36190500000001
78234,6.0,15.0,0.0,0.0,0.0,21.0,3.4666666666666663,55375,69777.0,7126,29.460596999999996,-98.43855400000001
78236,3.0,11.0,0.0,0.0,0.0,14.0,3.385714285714286,41355,46158.0,10392,29.391283,-98.618734
78237,9.0,13.0,2.0,0.0,0.0,24.0,3.7125000000000004,26040,33742.0,36929,29.421133,-98.570938
78238,17.0,22.0,13.0,0.0,0.0,52.0,4.013461538461538,37848,46152.0,23514,29.471773,-98.61767900000001
78239,2.0,4.0,0.0,0.0,0.0,6.0,4.083333333333333,51102,60353.0,28736,29.518637,-98.362961
78240,11.0,17.0,11.0,0.0,0.0,39.0,4.079487179487178,49486,59237.0,51111,29.52502,-98.606564
78242,8.0,8.0,1.0,0.0,0.0,17.0,3.823529411764706,32211,40742.0,31395,29.3504,-98.607054
78244,3.0,11.0,0.0,0.0,0.0,14.0,3.457142857142857,54534,59004.0,30757,29.474147,-98.348083
78245,6.0,5.0,7.0,0.0,0.0,18.0,3.9166666666666665,52173,57378.0,56511,29.401093,-98.730806
78247,5.0,11.0,5.0,0.0,0.0,21.0,3.723809523809524,69077,76123.0,49176,29.585862,-98.406811
78248,4.0,3.0,2.0,1.0,0.0,10.0,4.08,109943,132906.0,13638,29.590028000000004,-98.525262
78249,11.0,13.0,5.0,0.0,0.0,29.0,3.8827586206896565,58880,71081.0,49951,29.565310999999998,-98.612104
78250,6.0,9.0,4.0,0.0,0.0,19.0,3.8526315789473684,61009,66752.0,54903,29.502729,-98.664897
78251,10.0,11.0,6.0,0.0,1.0,28.0,3.9678571428571443,62010,69077.0,49435,29.462006,-98.676785
78252,5.0,0.0,0.0,0.0,0.0,5.0,3.3200000000000003,39960,49687.0,7372,29.341337,-98.705628
78253,8.0,9.0,8.0,0.0,0.0,25.0,3.944,76926,85554.0,29007,29.469011,-98.797801
78254,2.0,7.0,2.0,0.0,0.0,11.0,3.6454545454545455,71269,76889.0,44796,29.539126,-98.72588499999999
78255,3.0,2.0,1.0,0.0,0.0,6.0,3.233333333333334,105611,130447.0,10826,29.651921999999995,-98.656362
78256,10.0,5.0,9.0,4.0,0.0,28.0,3.5857142857142854,83986,107077.0,6855,29.622289000000002,-98.626164
78257,8.0,5.0,10.0,1.0,1.0,25.0,4.164000000000001,107999,202475.0,3946,29.660484999999998,-98.583454
78258,14.0,9.0,15.0,2.0,0.0,40.0,4.1875,112080,132929.0,40586,29.634096999999997,-98.497426
78259,9.0,6.0,2.0,0.0,0.0,17.0,3.8470588235294123,99237,110361.0,22660,29.627214000000002,-98.427068
78260,2.0,1.0,1.0,0.0,0.0,4.0,4.125,102770,116587.0,24844,29.697453000000003,-98.486728
78261,3.0,0.0,2.0,1.0,0.0,6.0,3.2999999999999994,93375,105898.0,13513,29.68958,-98.402411
78263,4.0,1.0,0.0,0.0,0.0,5.0,4.0600000000000005,56547,66198.0,4673,29.363660999999997,-98.304351
78264,14.0,5.0,1.0,0.0,0.0,20.0,3.9,48855,55724.0,12339,29.193205,-98.490787
78266,4.0,2.0,2.0,0.0,0.0,8.0,3.55,103314,123553.0,5591,29.650534000000004,-98.338421
78640,0.0,0.0,1.0,0.0,0.0,1.0,4.3,63641,69747.0,42954,29.999103,-97.82820699999999
