Zip,NA,$,$$,$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78052,0.0,1.0,0.0,0.0,1.0,3.2,52138,61834.0,6388,29.203678999999998,-98.77669399999999
78073,1.0,0.0,0.0,0.0,1.0,4.0,38623,45954.0,8171,29.243915,-98.622442
78109,0.0,1.0,0.0,0.0,1.0,3.4,58005,63591.0,34603,29.487773999999998,-98.291474
78148,0.0,1.0,0.0,0.0,1.0,3.4,57290,66831.0,20139,29.543813,-98.29535600000001
78154,0.0,1.0,0.0,0.0,1.0,3.0,77200,85121.0,30347,29.547159000000004,-98.262598
78201,5.0,2.0,2.0,0.0,9.0,4.322222222222222,32231,41258.0,45307,29.468413,-98.528889
78204,6.0,1.0,2.0,0.0,9.0,3.7999999999999994,32146,41460.0,11125,29.404404,-98.505028
78205,8.0,5.0,8.0,0.0,21.0,3.90952380952381,25779,69618.0,1453,29.423945,-98.48642
78207,6.0,2.0,6.0,0.0,14.0,3.900000000000001,22893,30557.0,55514,29.422124,-98.52597800000001
78208,3.0,1.0,0.0,0.0,4.0,4.1,21809,26147.0,3736,29.43993,-98.458718
78209,4.0,6.0,4.0,0.0,14.0,4.164285714285715,70758,106227.0,39197,29.488906,-98.45623499999999
78210,5.0,2.0,2.0,0.0,9.0,4.199999999999999,31576,39714.0,36865,29.395776,-98.464401
78211,1.0,2.0,0.0,0.0,3.0,4.0,30527,36845.0,31944,29.34255,-98.570024
78212,3.0,3.0,4.0,0.0,10.0,4.1,41266,64277.0,28415,29.464610999999998,-98.49365300000001
78213,1.0,1.0,1.0,0.0,3.0,4.433333333333334,40450,50202.0,40396,29.516395000000003,-98.52301700000001
78214,3.0,2.0,0.0,0.0,5.0,3.9200000000000004,28470,36992.0,23341,29.324786,-98.470039
78215,4.0,1.0,5.0,1.0,11.0,4.090909090909092,27045,59816.0,1150,29.441229999999997,-98.480515
78216,9.0,6.0,1.0,0.0,16.0,3.8125,47542,62095.0,40267,29.537264,-98.487882
78217,4.0,4.0,1.0,0.0,9.0,3.511111111111111,45881,59010.0,32165,29.538073999999998,-98.415198
78218,5.0,5.0,1.0,0.0,11.0,4.163636363636364,35393,45002.0,31917,29.490047999999998,-98.39713499999999
78219,6.0,2.0,0.0,0.0,8.0,4.075,39829,44012.0,15225,29.446661,-98.387393
